University Name,State,Degree (MS),Degree (Phd),Economics Ranking,Humanities Ranking,Science Ranking,Business Ranking,Computer Science Ranking,Art Management Ranking,Engineering ,Psychology
Lafayette College(Private),PA,Master,2,>150,48,>150,70,>150,>150,>150,>150
"Miami University - Oxford, OH(Out-of-State)",OH,Master,1,68,106,>150,71,>150,>150,>150,82
University of Wisconsin (UW) - Madison(In-State),WI,Master,1,92,121,34,72,80,110,130,>150
University of Southern California (USC)(Private),CA,Master,1,125,>150,129,73,>150,>150,>150,103
Hofstra University(Private),NY,Master,1,>150,>150,>150,74,>150,43,>150,100
Texas A&M University - Main Campus(In-State),TX,Master,1,59,91,37,75,111,34,27,132
University of Delaware(In-State),DE,Master,1,31,98,16,76,15,72,99,>150
San Jose State University (SJSU)(In-State),CA,Master,1,56,17,6,77,37,7,28,54
University of California - Santa Barbara (UCSB)(Out-of-State),CA,Master,1,42,>150,148,78,88,>150,90,40
Stony Brook University(In-State),NY,Master,1,>150,32,26,79,31,>150,85,96
James Madison University (JMU)(Out-of-State),VA,Master,1,57,>150,>150,80,24,139,>150,>150
University of California - Los Angeles (UCLA)(Out-of-State),CA,Master,1,54,90,>150,81,114,32,83,22
Milwaukee School of Engineering(Private),WI,Master,2,>150,>150,>150,82,>150,>150,>150,>150
University of Connecticut (UConn) - Main Campus(Out-of-State),CT,Master,1,91,>150,>150,83,>150,>150,123,92
University of Maryland - College Park(Out-of-State),MD,Master,1,115,>150,149,84,38,147,95,>150
University of Iowa (UI)(In-State),IA,Master,1,105,>150,88,85,85,>150,>150,>150
The College of William and Mary(Out-of-State),VA,Master,1,47,>150,>150,86,87,>150,>150,127
Boston University(Private),MA,Master,1,90,>150,>150,87,>150,>150,>150,111
"Loyola University - Baltimore, MD(Private)",MD,Master,1,>150,58,>150,88,>150,>150,>150,>150
SUNY - College at Old Westbury(In-State),NY,Master,2,>150,>150,>150,89,>150,>150,>150,>150
University of Washington - Bothell Campus(In-State),WA,Master,2,>150,>150,>150,90,>150,>150,>150,>150
Rutgers University - Newark Campus(In-State),NJ,Master,1,>150,>150,>150,91,>150,>150,>150,>150
Virginia Polytechnic Institute and State University (Virginia Tech)(Out-of-State),VA,Master,1,72,>150,>150,92,55,114,113,36
California State University - Chico(Out-of-State),CA,Master,2,120,>150,73,93,129,128,150,>150
University of Georgia (UGA)(In-State),GA,Master,1,148,128,>150,94,84,68,>150,86
University of Washington (UW) - Main Campus(Out-of-State),WA,Master,1,134,>150,>150,95,6,>150,96,84
CUNY - Bernard M Baruch College(In-State),NY,Master,2,78,>150,>150,96,>150,>150,>150,19
University of Colorado - Boulder (CU)(In-State),CO,Master,1,>150,54,89,97,20,101,>150,75
Johns Hopkins University(Private),MD,Master,1,>150,143,124,98,>150,>150,59,>150
University of Minnesota - Twin Cities(In-State),MN,Master,1,112,>150,91,99,59,118,131,60
Menlo College(Private),CA,Master,2,>150,>150,>150,100,>150,>150,>150,>150
Michigan State University (MSU)(In-State),MI,Master,1,145,>150,>150,101,>150,>150,>150,>150
University of Alaska - Fairbanks Campus(Out-of-State),AK,Master,1,>150,>150,>150,102,>150,>150,10,>150
Texas Christian University (TCU)(Private),TX,Master,1,>150,>150,>150,103,>150,>150,>150,>150
University of California - Santa Cruz (UCSC)(Out-of-State),CA,Master,1,>150,>150,>150,104,145,81,40,93
American University - Washington D.C.(Private),DC,Master,1,>150,>150,>150,105,>150,>150,>150,64
Bentley University(Private),MA,Master,1,>150,>150,>150,106,119,>150,>150,>150
"University of California - San Diego (UCSD), Warren College(Out-of-State)",CA,Master,1,111,83,13,107,8,>150,49,71
University of Texas (UT) - Austin(Out-of-State),TX,Master,1,144,>150,>150,108,62,>150,75,>150
University of Arizona(Out-of-State),AZ,Master,1,114,>150,>150,109,>150,>150,>150,>150
Pennsylvania State University (Penn State) - Main Campus(In-State),PA,Master,1,135,>150,>150,110,>150,49,>150,>150
Rosemont College(Private),PA,Master,2,>150,>150,>150,111,>150,>150,>150,>150
Sonoma State University(In-State),CA,Master,1,>150,>150,101,112,>150,>150,>150,140
University of Washington - Tacoma Campus(In-State),WA,Master,1,>150,>150,>150,113,>150,>150,>150,>150
San Jose State University (SJSU)(Out-of-State),CA,Master,1,79,23,15,114,61,23,48,88
University of San Francisco (USF)(Private),CA,Master,1,4,>150,>150,115,>150,>150,>150,129
Southern Methodist University (SMU)(Private),TX,Master,1,>150,>150,>150,116,>150,>150,>150,120
CUNY - Bernard M Baruch College(Out-of-State),NY,Master,2,96,>150,>150,117,>150,>150,>150,25
Stony Brook University(Out-of-State),NY,Master,1,>150,65,64,118,54,>150,119,145
Notre Dame of Maryland University(Private),MD,Master,1,>150,>150,>150,119,>150,>150,>150,>150
SUNY - College at Old Westbury(Out-of-State),NY,Master,2,>150,>150,>150,120,>150,>150,>150,>150
University of Massachusetts (UMass) - Amherst Campus(In-State),MA,Master,1,84,146,119,121,69,82,91,128
Indiana University (IU) - Bloomington(Out-of-State),IN,Master,1,95,>150,>150,122,>150,>150,>150,>150
Purdue University - Main Campus(In-State),IN,Master,1,33,>150,97,123,>150,>150,87,141
Wittenberg University(Private),OH,Master,1,>150,>150,>150,124,>150,>150,>150,>150
"Fashion Institute of Technology - New York, NY(In-State)",NY,Master,1,>150,>150,>150,125,>150,1,>150,>150
"Pace University - New York, NY(Private)",NY,Master,1,>150,>150,>150,126,>150,>150,>150,>150
University of Minnesota - Twin Cities(Out-of-State),MN,Master,1,132,>150,140,127,91,>150,>150,83
University of Alaska - Anchorage Campus(In-State),AK,Master,1,>150,>150,>150,128,>150,>150,>150,>150
University of Oklahoma(In-State),OK,Master,1,>150,>150,>150,129,>150,76,29,>150
University of Wisconsin (UW) - Madison(Out-of-State),WI,Master,1,140,>150,103,130,>150,>150,>150,>150
Loyola Marymount University(Private),CA,Master,1,>150,>150,>150,131,>150,84,>150,13
Manhattan College(Private),NY,Master,1,>150,>150,>150,132,>150,>150,108,>150
Texas A&M University - Main Campus(Out-of-State),TX,Master,1,100,>150,116,133,>150,130,61,>150
"Victoria University - Victoria, TX(In-State)",TX,Master,1,>150,>150,>150,134,>150,>150,>150,>150
California State University - Northridge (CSUN)(In-State),CA,Master,1,>150,120,75,135,35,26,>150,>150
University of Delaware(Out-of-State),DE,Master,1,60,>150,54,136,32,>150,>150,>150
Arizona State University (ASU)(In-State),AZ,Master,1,49,>150,>150,137,71,77,118,>150
Northeastern University(Private),MA,Master,1,118,>150,118,138,>150,132,125,42
CUNY - Queens College(In-State),NY,Master,1,87,>150,>150,139,109,>150,>150,33
Caldwell College(Private),NJ,Master,1,>150,>150,>150,140,>150,>150,>150,>150
"Seton Hall University - South Orange, NJ(Private)",NJ,Master,1,>150,132,>150,141,>150,>150,>150,>150
William Paterson University(In-State),NJ,Master,1,>150,>150,66,142,>150,103,>150,137
"Clarkson University - Potsdam, NY(Private)",NY,Master,1,>150,>150,>150,143,>150,>150,>150,>150
Case Western Reserve University(Private),OH,Master,1,>150,>150,>150,144,>150,>150,>150,>150
Columbia University(Private),NY,Master,1,12,31,>150,145,74,>150,8,34
Felician College(Private),NJ,Master,1,>150,>150,>150,146,>150,>150,>150,>150
Rutgers University - Newark Campus(Out-of-State),NJ,Master,1,>150,>150,>150,147,>150,>150,>150,>150
University of Massachusetts (UMass) - Lowell Campus(In-State),MA,Master,1,>150,89,25,148,49,38,82,113
University of Houston (UH)(In-State),TX,Master,1,>150,45,>150,149,96,>150,25,>150
Catholic University of America(Private),DC,Master,1,>150,22,>150,150,>150,>150,>150,>150
Massachusetts Institute of Technology (MIT)(Private),MA,Master,1,>150,>150,5,>150,102,>150,15,>150
Duke University(Private),NC,Master,1,17,3,9,>150,>150,>150,39,3
Harvard University(Private),MA,Master,1,1,10,11,>150,>150,>150,47,1
San Francisco State University (SFSU)(In-State),CA,Master,1,>150,76,12,>150,23,22,>150,44
Idaho State University (ISU)(In-State),ID,Master,1,>150,>150,17,>150,>150,>150,>150,>150
Colorado School of Mines(In-State),CO,Master,1,>150,>150,18,>150,51,>150,64,>150
Harvey Mudd College(Private),CA,Master,1,>150,>150,19,>150,>150,>150,54,>150
Stanford University(Private),CA,Master,1,2,>150,22,>150,18,64,19,5
University of North Carolina at Chapel Hill (UNC)(In-State),NC,Master,1,36,111,23,>150,39,135,>150,104
Dartmouth College(Private),NH,Master,1,15,8,24,>150,44,>150,>150,>150
San Diego State University (SDSU) - Main Campus(In-State),CA,Master,1,124,145,27,>150,122,29,143,126
California State University - Hayward(In-State),CA,Master,2,>150,125,28,>150,30,115,>150,78
San Francisco State University (SFSU)(Out-of-State),CA,Master,1,>150,127,29,>150,41,58,>150,72
California State University - Bakersfield (CSUB)(In-State),CA,Master,2,>150,>150,31,>150,>150,>150,>150,>150
University of California - Davis (UC Davis)(Out-of-State),CA,Master,1,139,>150,35,>150,144,80,141,124
Sam Houston State University(In-State),TX,Master,1,>150,>150,39,>150,28,>150,>150,>150
Idaho State University (ISU)(Out-of-State),ID,Master,1,>150,>150,40,>150,>150,>150,>150,>150
Saginaw Valley State University (SVSU)(In-State),MI,Master,2,>150,>150,43,>150,>150,>150,>150,>150
University of Utah(In-State),UT,Master,1,102,96,44,>150,42,113,112,>150
California State University - Los Angeles (CSULA)(In-State),CA,Master,2,>150,>150,45,>150,>150,>150,>150,>150
University of California - Irvine (UCI)(In-State),CA,Master,1,101,49,46,>150,21,136,>150,41
Colorado School of Mines(Out-of-State),CO,Master,1,>150,>150,48,>150,112,>150,98,>150
California State University - Fullerton (CSUF)(In-State),CA,Master,2,147,>150,50,>150,>150,51,>150,76
Weber State University(In-State),UT,Master,1,>150,67,53,>150,60,>150,>150,>150
San Diego State University (SDSU) - Main Campus(Out-of-State),CA,Master,1,>150,>150,55,>150,>150,73,>150,>150
North Carolina State University (NCSU)(In-State),NC,Master,1,97,>150,56,>150,113,5,>150,>150
University of Kansas(In-State),KS,Master,1,>150,>150,58,>150,108,111,>150,102
Bloomsburg University of Pennsylvania(In-State),PA,Master,2,>150,>150,59,>150,>150,>150,>150,>150
California State University - Hayward(Out-of-State),CA,Master,1,>150,>150,60,>150,50,>150,>150,116
California State University - San Bernardino (CSUSB)(In-State),CA,Master,1,>150,141,61,>150,126,>150,>150,>150
California State Polytechnic University - Pomona(In-State),CA,Master,1,>150,60,63,>150,101,83,102,>150
University of Louisiana (UL) at Lafayette(In-State),LA,Master,1,>150,>150,65,>150,107,>150,43,>150
University of Massachusetts (UMass) - Lowell Campus(Out-of-State),MA,Master,1,>150,>150,68,>150,100,122,120,>150
University of Idaho(In-State),ID,Master,1,>150,>150,70,>150,>150,85,>150,32
University of Rochester(Private),NY,Master,1,131,>150,71,>150,>150,>150,>150,89
California State University - Bakersfield (CSUB)(Out-of-State),CA,Master,1,>150,>150,74,>150,>150,>150,>150,>150
Louisiana State University and Agricultural & Mechanical College(In-State),LA,Master,1,>150,>150,76,>150,>150,>150,24,>150
California State University - Fresno (Fresno State)(In-State),CA,Master,1,>150,>150,77,>150,52,150,>150,73
Sam Houston State University(Out-of-State),TX,Master,1,>150,>150,78,>150,43,>150,>150,>150
California State University - Long Beach (CSULB)(In-State),CA,Master,1,107,119,79,>150,105,47,>150,39
University of Wisconsin (UW) - La Crosse Campus(In-State),WI,Master,1,>150,>150,80,>150,>150,>150,>150,>150
Montclair State University(In-State),NJ,Master,1,>150,>150,81,>150,>150,140,>150,119
University of Wisconsin (UWP) - Parkside(In-State),WI,Master,1,>150,>150,82,>150,>150,>150,>150,>150
University of Scranton(Private),PA,Master,2,>150,>150,83,>150,>150,>150,>150,>150
Georgia State University(In-State),GA,Master,1,>150,>150,84,>150,>150,>150,>150,>150
California State University - Sacramento (CSUS)(In-State),CA,Master,2,77,>150,85,>150,121,78,147,26
"Oakland University - Rochester Hills, MI(In-State)",MI,Master,1,>150,116,86,>150,>150,>150,>150,>150
University at Buffalo (UB)(In-State),NY,Master,1,129,101,87,>150,117,>150,>150,>150
SUNY - New Paltz(In-State),NY,Master,2,>150,>150,92,>150,>150,>150,>150,>150
Weber State University(Out-of-State),UT,Master,1,>150,102,94,>150,98,>150,>150,>150
Rutgers University - Camden Campus(In-State),NJ,Master,1,>150,>150,96,>150,>150,>150,>150,>150
Saginaw Valley State University (SVSU)(Out-of-State),MI,Master,2,>150,>150,99,>150,>150,>150,>150,>150
California State University - Los Angeles (CSULA)(Out-of-State),CA,Master,2,>150,>150,100,>150,>150,>150,>150,>150
University of Wisconsin (UWEC) - Eau Claire(In-State),WI,Master,1,>150,>150,104,>150,>150,97,>150,>150
William Paterson University(Out-of-State),NJ,Master,2,>150,>150,105,>150,>150,>150,>150,>150
University of Rhode Island (URI)(In-State),RI,Master,1,>150,99,106,>150,>150,>150,>150,148
University of North Carolina at Chapel Hill (UNC)(Out-of-State),NC,Master,1,76,>150,107,>150,118,>150,>150,>150
Springfield College in Illinois(Private),IL,Master,2,>150,>150,108,>150,>150,>150,>150,>150
Bridgewater State College(In-State),MA,Master,2,>150,>150,110,>150,>150,>150,>150,>150
California State University - Fullerton (CSUF)(Out-of-State),CA,Master,2,>150,>150,111,>150,>150,117,>150,112
SUNY - College at Plattsburgh(In-State),NY,Master,2,>150,>150,112,>150,>150,>150,>150,>150
Northwest Missouri State University(In-State),MO,Master,1,>150,>150,113,>150,66,>150,>150,>150
Bloomsburg University of Pennsylvania(Out-of-State),PA,Master,2,>150,>150,114,>150,>150,>150,>150,>150
Illinois State University(In-State),IL,Master,1,>150,>150,115,>150,>150,>150,>150,>150
Christopher Newport University(In-State),VA,Master,2,>150,>150,117,>150,>150,>150,>150,>150
University of Wisconsin (UW) - La Crosse Campus(Out-of-State),WI,Master,1,>150,>150,120,>150,>150,>150,>150,>150
University of Wisconsin (UWP) - Parkside(Out-of-State),WI,Master,1,>150,>150,121,>150,>150,>150,>150,>150
