University Name,State,Degree (MS),Degree (Phd),Economics Ranking,Humanities Ranking,Science Ranking,Business Ranking,Computer Science Ranking,Art Management Ranking,Engineering ,Psychology
Pomona College(Private),CA,Master,2,>150,21,>150,>150,>150,>150,>150,>150
Towson University(In-State),MD,Master,2,>150,27,>150,>150,>150,79,>150,>150
Bowdoin College(Private),ME,Master,2,>150,35,>150,>150,>150,>150,>150,>150
Franklin and Marshall College(Private),PA,Master,2,>150,36,>150,>150,>150,>150,>150,>150
Haverford College(Private),PA,Master,2,>150,38,>150,>150,>150,>150,>150,>150
Towson University(Out-of-State),MD,Master,2,>150,42,>150,>150,>150,>150,>150,>150
Auburn University(In-State),AL,Master,1,>150,52,>150,>150,>150,>150,>150,>150
"Clark University - Worcester, MA(Private)",MA,Master,1,>150,53,>150,>150,>150,>150,>150,>150
College of the Holy Cross(Private),MA,Master,1,>150,57,>150,>150,>150,>150,>150,>150
Youngstown State University (YSU)(In-State),OH,Master,2,>150,62,>150,>150,>150,>150,>150,>150
Youngstown State University (YSU)(Out-of-State),OH,Master,2,>150,63,>150,>150,>150,>150,>150,>150
University of Wyoming (UW)(In-State),WY,Master,1,>150,70,>150,>150,>150,>150,>150,>150
"Columbia College - Columbia, MO(Private)",MO,Master,2,>150,71,>150,>150,>150,>150,>150,>150
Connecticut College(Private),CT,Master,1,>150,73,>150,>150,>150,>150,>150,>150
Northern Kentucky University (NKU)(In-State),KY,Master,1,>150,75,>150,>150,103,>150,>150,>150
Middlebury College(Private),VT,Master,1,>150,78,>150,>150,>150,>150,>150,>150
University of Houston (UH)(Out-of-State),TX,Master,1,>150,79,>150,>150,>150,>150,42,>150
Bates College(Private),ME,Master,2,>150,81,>150,>150,>150,>150,>150,>150
University of Nevada - Reno (UNR)(In-State),NV,Master,1,>150,86,>150,>150,>150,>150,>150,>150
Stonehill College(Private),MA,Master,2,>150,88,>150,>150,>150,>150,>150,>150
Trinity University(Private),TX,Master,1,>150,92,>150,>150,>150,>150,>150,>150
University of Vermont (UVM)(In-State),VT,Master,1,>150,93,>150,>150,>150,124,>150,>150
Skidmore College(Private),NY,Master,1,>150,95,>150,>150,>150,>150,>150,95
University of Florida (UF)(In-State),FL,Master,1,>150,103,>150,>150,>150,67,116,136
Fitchburg State College(In-State),MA,Master,1,>150,104,>150,>150,>150,>150,>150,>150
Spelman College(Private),GA,Master,1,>150,109,>150,>150,>150,>150,>150,>150
Wright State University - Main Campus(In-State),OH,Master,1,>150,112,>150,>150,>150,>150,>150,>150
University of Wyoming (UW)(Out-of-State),WY,Master,1,>150,113,>150,>150,>150,>150,>150,>150
Gustavus Adolphus College(Private),MN,Master,1,>150,114,>150,>150,>150,>150,>150,>150
Northern Kentucky University (NKU)(Out-of-State),KY,Master,1,>150,115,>150,>150,>150,>150,>150,>150
Auburn University(Out-of-State),AL,Master,1,>150,117,>150,>150,>150,>150,>150,>150
SUNY - Geneseo(In-State),NY,Master,1,>150,118,>150,>150,>150,>150,>150,117
Texas Tech University(In-State),TX,Master,1,>150,123,>150,>150,82,107,31,70
Kalamazoo College(Private),MI,Master,1,>150,126,>150,>150,>150,>150,>150,>150
University of North Carolina at Charlotte (UNCC)(In-State),NC,Master,1,>150,130,>150,>150,>150,>150,>150,>150
Chapman University(Private),CA,Master,1,>150,134,>150,>150,>150,>150,>150,>150
Utah State University - Regional Campuses and Distance Education(In-State),UT,Master,1,>150,136,>150,>150,>150,24,>150,>150
Western Oregon University(In-State),OR,Master,1,>150,137,>150,>150,>150,>150,>150,>150
California State University - Dominguez Hills (CSUDH)(In-State),CA,Master,1,>150,140,>150,>150,>150,>150,>150,>150
Fitchburg State College(Out-of-State),MA,Master,1,>150,142,>150,>150,>150,>150,>150,>150
Salem State University(In-State),MA,Master,2,>150,144,>150,>150,>150,>150,>150,>150
Indiana University-Purdue University - Indianapolis (IUPUI)(In-State),IN,Master,1,>150,147,>150,>150,>150,>150,122,91
Seattle University(Private),WA,Master,1,>150,148,>150,>150,>150,>150,>150,>150
University of Mary Washington(Out-of-State),VA,Master,1,>150,149,>150,>150,142,>150,>150,142
University of Missouri - Kansas City (UMKC)(In-State),MO,Master,1,>150,150,>150,>150,>150,>150,121,105
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
